Epoch	Train_Loss	Val_Loss	OA	AA	Kappa
563	1.0387	0.1815	99.17	96.12	99.06
564	0.9550	0.1797	99.17	96.10	99.06
565	1.0536	0.1805	99.10	95.95	98.98
566	1.0787	0.1810	99.10	95.95	98.98
567	1.0551	0.1794	99.15	96.06	99.03
568	0.9942	0.1784	99.17	96.10	99.06
569	1.1159	0.1791	99.17	96.11	99.06
570	0.9640	0.1804	99.13	96.02	99.00
571	0.9127	0.1782	99.16	96.12	99.04
572	1.0511	0.1787	99.16	96.11	99.04
573	0.9447	0.1765	99.15	96.12	99.03
574	1.1246	0.1783	99.16	96.11	99.04
575	1.0188	0.1807	99.17	96.10	99.06
